"Product or process","Functional unit","Global warming potential per functional unit","Unit for 'Global warming potential' reporting","Country","Institution","System boundary","Included stages or activities","Impact categories","Ozone depletion potential per functional unit","Unit for 'Ozone depletion potential' reporting","Ozone formation per functional unit","Unit for 'Ozone formation' per functional unit","Ozone formation: human health per functional unit","Unit for 'Ozone formation: human health' reporting","Ozone formation: terrestrial ecosystems per functional unit","Unit for 'Ozone formation: terrestrial ecosystems' reporting","Photochemical oxidant creation potential
per functional unit","Unit for 'Photochemical oxidant creation potential' reporting","Acidification potential per functional unit","Unit for 'Acidification potential' reporting","Terrestrial acidification potential
per functional unit","Unit for 'Terrestrial acidification potential' reporting","Aquatic acidification potential
per functional unit","Unit for 'Aquatic acidification potential' reporting","Ocean acidification per functional unit","Unit for 'Ocean acidification' reporting","Eutrophication potential per functional unit","Unit for 'Eutrophication potential' reporting","Eutrophication potential: air per functional unit","Unit for 'Eutrophication potential: air' reporting","Eutrophication potential: water per functional unit","Unit for 'Eutrophication potential: water' reporting","Terrestrial eutrophication potential per functional unit","Unit for 'Terrestrial eutrophication potential' reporting","Marine eutrophication potential
per functional unit","Unit for 'Marine eutrophication potential' reporting","Freshwater eutrophication potential per functional unit","Unit for 'Freshwater eutrophication potential' reporting","Aquatic eutrophication potential
per functional unit","Unit for 'Aquatic eutrophication potential' reporting","Reactive nitrogen in water
per functional unit","Unit for 'Reactive nitrogen in water' reporting","Respiratory effects per functional unit","Unit for 'Respiratory effects' reporting","Particulate matter formation
per functional unit","Unit for 'Particulate matter formation' reporting","Respiratory
inorganics per functional unit","Unit for 'Respiratory
inorganics' reporting","Respiratory
organics
per functional unit","Unit for 'Respiratory
organics' reporting","Air pollution, sulfur dioxide
per functional unit","Unit for 'Air pollution, sulfur dioxide' reporting","Air pollution, nitrogen oxides
per functional unit","Unit for 'Air pollution, nitrogen oxides' reporting","Ecotoxicity potential
per functional unit","Unit for 'Ecotoxicity potential' reporting","Terrestrial ecotoxicity potential per functional unit","Unit for 'Terrestrial ecotoxicity potential' reporting","Freshwater aquatic ecotoxicity potential
per functional unit","Unit for 'Freshwater aquatic ecotoxicity potential' reporting","Marine aquatic ecotoxicity potential
per functional unit","Unit for 'Marine aquatic ecotoxicity potential' reporting","Aquatic ecotoxicity potential per functional unit","Unit for 'Aquatic ecotoxicity potential' reporting","Terrestrial ecotoxicity potential per functional unit 2","Unit for 'Terrestrial ecotoxicity potential' reporting 2","Human health: carcinogens
per functional unit","Unit for 'Human health: carcinogens reporting","Human health: non-carcinogens
per functional unit","Unit for 'Human health: non-carcinogens' reporting","Human toxicity potential
per functional unit","Unit for 'Human toxicity potential' reporting","Human toxicity potential: carcinogens
per functional unit","Unit for 'Human toxicity potential: carcinogens' reporting","Human toxicity potential: non-carcinogens per functional unit","Unit for 'Human toxicity potential: non-carcinogens' reporting","Total Malaria risk
per functional unit","Unit for 'Total malaria risk' reporting","Ionizing radiation per functional unit","Unit for 'Ionizing radiation' reporting","Ionizing radiation: human health per functional unit","Unit for 'Ionizing radiation: human health' reporting","Land use per functional unit","Unit for 'Land use' reporting","Agricultural land occupation per functional unit","Unit for 'Agricultural land occupation' reporting","Urban land occupation per functional unit","Unit for 'Urban land occupation' reporting","Land occupation
per functional unit","Unit for 'Land occupation' reporting","Natural land transformation per functional unit","Unit for 'Natural land transformation' reporting","Water use per functional unit","Unit for 'Water use' reporting","Blue water use per functional unit","Unit for 'Blue water use' reporting","Water scarcity per functional unit","Unit for 'Water scarcity' reporting","Scarce water use
per functional unit","Unit for 'Scarce water use' reporting","Water withdrawal per functional unit","Unit for 'Water withdrawal' reporting","Water footprint per functional unit","Unit for 'Water footprint' reporting","Metal depletion per functional unit","Unit for 'Metal depletion' reporting","Fossil depletion per functional unit","Unit for 'Fossil depletion' reporting","Abiotic fossil fuel depletion per functional unit","Unit for 'Abiotic fossil fuel depletion' reporting","Abiotic depletion potential: elements per functional unit","Unit for 'Abiotic depletion potential: elements' reporting","Abiotic depletion potential per functional unit","Unit for 'Abiotic depletion potential' reporting","Abiotic material extraction","Unit for 'Abiotic material extraction' reporting","Renewable energy carriers
per functional unit","Unit for 'Renewable energy carriers' reporting","Non-renewable energy carriers
per functional unit","Unit for 'Non-renewable energy carriers' reporting","Fossil energy carriers
per functional unit","Unit for 'Fossil energy carriers' reporting","Fossil fuels per functional unit","Unit for 'Fossil fuels' reporting","Minerals per functional unit","Unit for 'Minerals' reporting","Mineral resource scarcity per functional unit","Unit for 'Mineral resource scarcity' reporting","Fossil resource scarcity per functional unit","Unit for 'Fossil resource scarcity' reporting","Natural resource energy per functional unit","Unit for Natural resource energy' reporting","Resources: non-renewable per functional unit","Unit for 'Resources: non-renewable' reporting","Resources, renewable per functional unit","Unit for 'Resources: renewable' reporting","Resource use: energy carriers per fucntional unit","Unit for 'Resource use: energy carriers' reporting","Resource use: minerals and metals per functional unit","Unit for 'Resource use: minerals and metals' reporting","Resource use: fossils per functional unit","Unit for 'Resource use: fossils' reporting","Resource depletion per functional unit","Unit for 'Resource depletion' reporting","Cumulative energy demand per functional unit","Unit for 'Cumulative energy demand' reporting","Cumulative energy demand: non-renewable
per functional unit","Unit for 'Cumulative energy demand: non-renewable' reporting","Cumulative energy demand: renewable
per functional unit","Unit for 'Cumulative energy demand: renewable' reporting","Non-renewable energy use per functional unit","Unit for 'Non-renewable energy use' reporting","Primary energy consumption per functional unit","Unit for 'Primary energy consumption' reporting","Primary energy demand per functional unit","Unit for 'Primary energy demand' reporting","Hazardous waste
per functional unit","Unit for 'Hazardous waste' reporting","Heavy metals per functional unit","Unit for 'Heavy metals' reporting","Solid waste per functional unit","Unit for 'Solid waste' reporting","Human health
(Endpoint) per functional unit","Unit for 'Human health (Endpoint)' reporting","Resources (Endpoint) per functional unit","Unit for 'Resources (Endpoint)' reporting","Ecosystems (Endpoint) per functional unit","Unit for 'Ecosystems' reporting","Dissipated water per functional unit","Unit for 'Dissipated water' reporting","Resource depletion: water per functional unit","Unit for 'Resource depletion: water per functional unit' reporting","Species extinction risk per functional unit","Unit for 'Species extinction risk' reporting","References 2","Data sources copy 2"
"""Green"" custom pack for delivering a child, disposable","One environmentally-preferred disposable custom pack for delivering a baby","1.09E+00"
"3D mapping system patches (Carto® 3 system external reference patches, Biosense Webster, Inc., CA, USA)","One item","3.00E+00"
"Abdominal hysterectomy products/devices containing single-use biopolymer(s)","Single-use medical devices and products used during one hysterectomy that contain petroleum-based plastics suitable for biopolymer substitution",""
"Abdominal hysterectomy products/devices containing single-use plastic(s)","Single-use medical devices and products used during one hysterectomy that contain petroleum-based plastics suitable for biopolymer substitution",""
"Abbott, pharmaceutical company","Provision over one year","9.83E+08"
"Abbvie, pharmaceutical company","Provision over one year","6.60E+08"
"Abdominal hysterectomy","One procedure","2.93E+02"
"Abdominoplasty","One procedure","2.37E+01"
"Acute care unit (floor area allocation)","One bed-day","5.54E+01"
"Acute care unit (staff allocation)","One bed-day","4.55E+01"
"Acute decompensated heart failure care pathway","Treatment of one hospitalized patient with acute decompensated heart failure","2.63E+02"
"Acute decompensated heart failure care pathway","One bed day for the treatment of a hospitalized patient with acute decompensated heart failure","3.20E+01"
"Ad26.COV2.S (J&J/Janssen)","One vaccine course for one individual (i.e., either one or two doses)","1.00E-02"
"Ad26.COV2.S (J&J/Janssen)","One vaccine course for one individual (i.e., either one or two doses)","1.20E-02"
"Ad26.COV2.S (J&J/Janssen)","One vaccine course for one individual (i.e., either one or two doses)","1.40E-02"
"Ad26.COV2.S (J&J/Janssen)","One vaccine course for one individual (i.e., either one or two doses)","1.00E-02"
"Ad26.COV2.S (J&J/Janssen)","One vaccine course for one individual (i.e., either one or two doses)","7.00E-03"
"Ad26.COV2.S (J&J/Janssen)","One vaccine course for one individual (i.e., either one or two doses)","2.00E-02"
"Ad26.COV2.S (J&J/Janssen)","One vaccine course for one individual (i.e., either one or two doses)","1.50E-02"
"Ad26.COV2.S (J&J/Janssen)","One vaccine course for one individual (i.e., either one or two doses)","2.40E-02"
"Ad26.COV2.S (J&J/Janssen)","One vaccine course for one individual (i.e., either one or two doses)","9.00E-03"
"Adult spinal deformity surgery, minimally invasive surgery (lateral interbody fusion (LIF) and percutaneous posterior screw fixation)","One procedure","1.68E+02"
"Adult spinal deformity surgery, open surgery (posterior-only, single-stage technique)","One procedure","1.27E+02"
"Adult tonsillectomy","One procedure","4.10E+01"
"Adult Tonsillectomy, cold technique","One procedure","1.58E+02"
"Adult Tonsillectomy, low-temperature radiofrequency ablation (Coblation) technique","One procedure","2.05E+02"
"Adult Tonsillectomy, monopolar electrocautery technique","One procedure","1.84E+02"
"Afghanistan health system","Provision over one year, national","1.21E+09"
"Afghanistan health system, per capita","Provision over one year, per capita","3.10E+01"
"Algeria health system","Provision over one year, national","5.08E+09"
"Algeria health system, per capita","Provision over one year, per capita","1.17E+02"
"Ambulance services","One ambulance response","1.11E+02"
"Amgen, pharmaceutical company","Provision over one year","3.69E+08"
"Anaesthetic breathing circuits","One use","1.11E+00"
"Anastomotic leak care pathway","One procedure","1.30E+03"
"Andorra health system","Provision over one year, national","1.28E+08"
"Andorra health system, per capita","Provision over one year, per capita","1.65E+03"
"Anesthetic drug tray with gauze and paper towel, single-use, plastic","Use of one plastic anesthetic drug tray, 2 cotton gauzes, and 1 paper towel","2.04E-01"
"Anesthetic drug tray, reusable, plastic","Use of one plastic anesthetic drug tray","1.10E-01"
"Anesthetic drug tray, single-use, plastic","Use of one plastic anesthetic drug tray","1.26E-01"
"Anesthetic equipment (breathing circuits, face masks, LMAs, laryngoscope blades and handles), mainly single use (reusable laryngoscope handles and videolaryngoscopes)","Use of breathing circuits, face masks, LMAs, and direct and videolaryngoscopes at one hospital over one year","5.10E+03"
"Anesthetic equipment (breathing circuits, face masks, LMAs, laryngoscope blades and handles), reusable except for single-use face masks","Use of breathing circuits, face masks, LMAs, and direct and videolaryngoscopes at one hospital over one year","6.56E+03"
"Anesthetic equipment (breathing circuits, face masks, LMAs, laryngoscope blades and handles), reusable except for single-use laryngoscope blades","Use of breathing circuits, face masks, LMAs, and direct and videolaryngoscopes at one hospital over one year","6.76E+03"
"Anesthetic equipment (breathing circuits, face masks, LMAs, laryngoscope blades and handles), reusable, coal-based reprocessing","Use of breathing circuits, face masks, LMAs, and direct and videolaryngoscopes at one hospital over one year","5.58E+03"
"Anesthetic equipment (breathing circuits, face masks, LMAs, laryngoscope blades and handles), reusable, natural gas-based reprocessing","Use of breathing circuits, face masks, LMAs, and direct and videolaryngoscopes at one hospital over one year","2.67E+03"
"Anesthetic equipment (breathing circuits, face masks, LMAs, laryngoscope blades and handles), reusable, renewables-based reprocessing","Use of breathing circuits, face masks, LMAs, and direct and videolaryngoscopes at one hospital over one year","8.02E+02"
"Anesthetic equipment (breathing circuits, face masks, LMAs, laryngoscope blades and handles), single use","Use of breathing circuits, face masks, LMAs, and direct and videolaryngoscopes at one hospital over one year","5.78E+03"
"Angola health system","Provision over one year, national","9.36E+08"
"Angola health system, per capita","Provision over one year, per capita","2.80E+01"
"Annual Meeting of the American Academy of Ophthalmology, in-person, 2019","One conference","3.99E+07"
"Annual Meeting of the American Academy of Ophthalmology, in-person, one attendee","One attendee","1.73E+03"
"Annual Meeting of the American Academy of Ophthalmology, virtual, 2020","One conference","3.86E+04"
"Annual Meeting of the American Academy of Ophthalmology, virtual, one attendee","One attendee","3.00E+00"
"Antibacterial hand gel","One bottle of antibacterial hand gel (120 mL) manufactured and packaged in Mexico","4.90E+00"
"Antibiotics (nonspecific)","One kilogram of active pharmaceutical ingredient (API)","1.43E+01"
"Antigua and Barbuda health system","Provision over one year, national","1.54E+07"
"Antigua and Barbuda health system, per capita","Provision over one year, per capita","1.66E+02"
"Aquablation robotic handpiece (Aquabeam)","One item","2.16E+00"
"Argentina health system","Provision over one year","1.64E+10"
"Argentina health system","Provision over one year, national","7.79E+09"
"Argentina health system, per capita","Provision over one year, per capita","1.73E+02"
"Armenia health system","Provision over one year, national","7.63E+08"
"Armenia health system, per capita","Provision over one year, per capita","2.72E+02"
"Arterial blood gas, blood test","Collection and analysis of one test in a hospital setting","7.40E-02"
"Arterial blood gases, blood test","Collection and analysis of one test","4.90E-02"
